time,angle,r1,r2,r3,r4,r5,r6,circular,lateral,rawname
20:31.2,155.5673848,749,710,726,700,721,731,0,-2,CZP_0_down2
20:31.2,155.6038934,749,708,725,700,720,731,0,-2,CZP_0_down2
20:31.2,155.6941638,749,708,726,700,720,731,0,-2,CZP_0_down2
20:31.3,155.7152751,748,709,727,701,721,731,0,-2,CZP_0_down2
20:31.3,155.699659,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.3,155.7238923,748,708,726,700,720,730,0,-2,CZP_0_down2
20:31.3,155.6415908,749,708,725,700,720,730,0,-2,CZP_0_down2
20:31.3,155.7003763,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.4,155.6663707,749,709,726,698,720,731,0,-2,CZP_0_down2
20:31.4,155.5629053,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.4,155.6236379,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.4,155.593756,749,709,727,699,719,731,0,-2,CZP_0_down2
20:31.4,155.7206137,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.5,155.6734647,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.5,155.6396971,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.5,155.6996733,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.5,155.7161507,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.5,155.7316126,749,709,726,700,720,732,0,-2,CZP_0_down2
20:31.6,155.5889858,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.6,155.6776507,749,709,726,700,720,730,0,-2,CZP_0_down2
20:31.6,155.6178778,749,709,726,700,719,731,0,-2,CZP_0_down2
20:31.6,155.645716,748,708,725,700,720,731,0,-2,CZP_0_down2
20:31.6,155.7841515,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.7,155.7980373,748,708,725,700,720,731,0,-2,CZP_0_down2
20:31.7,155.8338952,749,709,727,701,721,731,0,-2,CZP_0_down2
20:31.7,155.6905187,749,709,726,700,720,731,0,-2,CZP_0_down2
20:31.7,155.5737469,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.7,155.7608245,748,709,726,700,720,731,0,-2,CZP_0_down2
20:31.8,155.7318112,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.8,155.7593059,750,709,726,700,720,731,0,-2,CZP_0_down2
20:31.8,155.8464095,748,708,725,699,719,730,0,-2,CZP_0_down2
20:31.8,155.776522,749,709,727,701,720,731,0,-2,CZP_0_down2
20:31.8,155.8931148,750,709,726,700,720,731,0,-2,CZP_0_down2
20:31.9,155.8256622,749,709,726,700,721,731,0,-2,CZP_0_down2
20:31.9,155.8442805,750,709,726,700,720,732,0,-2,CZP_0_down2
20:31.9,155.708376,749,709,728,701,720,731,0,-2,CZP_0_down2
20:31.9,155.805696,750,709,726,699,719,731,0,-2,CZP_0_down2
20:31.9,155.8360103,749,709,726,700,720,731,0,-2,CZP_0_down2
20:32.0,155.9346147,748,709,726,699,720,731,0,-2,CZP_0_down2
20:32.0,155.9657784,749,709,726,700,720,731,0,-2,CZP_0_down2
20:32.0,155.8752437,749,709,726,700,720,731,0,-2,CZP_0_down2
20:32.0,155.9336685,747,708,724,699,719,731,0,-2,CZP_0_down2
20:32.0,155.8368347,749,709,726,700,721,731,0,-2,CZP_0_down2
20:32.1,155.7969442,749,710,726,700,720,731,0,-2,CZP_0_down2
20:32.1,155.8739922,748,709,727,700,720,731,0,-2,CZP_0_down2
20:32.1,156.0629907,748,710,727,699,720,731,0,-2,CZP_0_down2
20:32.1,156.2391454,748,710,727,699,721,732,0,-2,CZP_0_down2
20:32.1,156.2846229,748,711,727,699,720,732,0,-2,CZP_0_down2
20:32.2,155.7769394,747,711,728,699,720,733,0,-2,CZP_0_down2
20:32.2,155.0709575,746,712,730,698,719,734,0,-2,CZP_0_down2
20:32.2,154.4696028,744,714,731,698,719,736,0,-2,CZP_0_down2
20:32.2,153.627285,743,714,733,697,719,738,0,-2,CZP_0_down2
20:32.2,152.1568366,741,715,734,697,718,737,0,-2,CZP_0_down2
20:32.3,150.2189626,740,716,735,697,717,739,0,-2,CZP_0_down2
20:32.3,147.7850316,738,716,735,697,716,740,0,-2,CZP_0_down2
20:32.3,145.3253007,736,717,736,697,715,742,0,-2,CZP_0_down2
20:32.3,143.1336327,735,717,735,697,714,742,0,-2,CZP_0_down2
20:32.3,141.2415442,733,718,733,695,711,741,0,-2,CZP_0_down2
20:32.4,138.9805489,733,720,734,697,713,744,0,-2,CZP_0_down2
20:32.4,135.3325795,732,722,733,697,713,745,0,-2,CZP_0_down2
20:32.4,131.8607786,733,724,732,698,713,747,0,-2,CZP_0_down2
20:32.4,128.5174722,734,727,731,699,713,749,0,-2,CZP_0_down2
20:32.4,125.3264461,733,728,731,699,713,751,0,-2,CZP_0_down2
20:32.5,121.8898115,737,731,731,700,713,754,0,-2,CZP_0_down2
20:32.5,118.211145,736,732,730,701,714,757,0,-2,CZP_0_down2
20:32.5,114.4514831,737,734,730,703,715,758,0,-2,CZP_0_down2
20:32.5,111.0867995,738,737,731,703,717,761,0,-2,CZP_0_down2
20:32.5,106.763031,738,739,732,704,717,763,0,-2,CZP_0_down2
20:32.6,103.1573087,740,744,736,706,719,766,0,-2,CZP_0_down2
20:32.6,98.99239805,739,743,734,705,719,769,0,-2,CZP_0_down2
20:32.6,94.67814246,740,745,734,708,720,771,0,-2,CZP_0_down2
20:32.6,90.36656967,741,747,734,708,721,775,0,-2,CZP_0_down2
20:32.6,85.78458025,743,749,734,709,722,778,0,-2,CZP_0_down2
20:32.7,81.47980017,745,752,734,708,723,781,0,-2,CZP_0_down2
20:32.7,77.06986782,747,755,735,709,723,784,0,-2,CZP_0_down2
20:32.7,72.80638088,750,757,736,710,724,788,0,-2,CZP_0_down2
20:32.7,68.61765012,753,761,738,711,725,793,0,-2,CZP_0_down2
